epoch,success_rate,completion_rate,training_time_seconds,cumulative_training_hours,auc_success,auc_completion
0.0,0.25,0.25,12.25760293006897,0.003404889702796936,3.0644007325172424,3.0644006729125977
50.0,0.25,0.25,650.6642560958862,0.1841449608405431,162.66606402397156,162.6660614013672
100.0,0.75,0.75,349.7274663448334,0.28129147926966347,262.29559975862503,262.29559326171875
150.0,0.5,0.5,146.70377254486084,0.3220425271987915,73.35188627243042,73.35188293457031
200.0,0.75,0.75,112.52410221099854,0.35329922225740223,84.3930766582489,84.39307403564453
250.0,0.5,0.5,112.28495121002197,0.3844894864824083,56.142475605010986,56.14247512817383
300.0,0.25,0.25,134.42730617523193,0.4218304048644172,33.60682654380798,33.60682678222656
350.0,0.5,0.5,231.86786031723022,0.48623814384142555,115.93393015861511,115.93392944335938
400.0,0.25,0.25,166.07990431785583,0.5323714505963856,41.51997607946396,41.51997756958008
450.0,0.75,0.75,120.76163363456726,0.5659163488282097,90.57122522592545,90.57122802734375
500.0,0.75,0.75,124.18629550933838,0.6004125420252482,93.13972163200378,93.13972473144531
550.0,0.75,0.75,141.52226948738098,0.6397242835495207,106.14170211553574,106.14169311523438
600.0,0.5,0.5,128.96565079689026,0.6755480754375458,64.48282539844513,64.48282623291016
650.0,0.25,0.25,184.61698246002197,0.7268305705653296,46.15424561500549,46.15424728393555
700.0,0.5,0.5,146.00079035758972,0.7673863456646601,73.00039517879486,73.00039672851562
750.0,0.5,0.5,153.59812593460083,0.8100524917576049,76.79906296730042,76.79906463623047
800.0,0.75,0.75,343.6694505214691,0.9055162280135685,257.75208789110184,257.7521057128906
850.0,0.25,0.25,193.75538206100464,0.9593371674749587,48.43884551525116,48.438846588134766
900.0,0.75,0.75,148.5633590221405,1.000604767203331,111.42251926660538,111.42251586914062
950.0,0.5,0.5,132.33127212524414,1.0373634539047878,66.16563606262207,66.16563415527344
1000.0,0.75,0.75,126.86224031448364,1.0726029651032554,95.14668023586273,95.14668273925781
1050.0,0.75,0.75,165.3074414730072,1.1185216988457574,123.9805811047554,123.98057556152344
1100.0,1.0,1.0,172.2341411113739,1.166364515821139,172.2341411113739,172.23414611816406
1150.0,0.5,0.5,167.66638445854187,1.2129385115040674,83.83319222927094,83.83319091796875
1200.0,0.5,0.5,546.7189140319824,1.3648048765129512,273.3594570159912,273.3594665527344
1250.0,0.75,0.75,224.94462394714355,1.4272894942760468,168.70846796035767,168.70846557617188
1300.0,0.5,0.5,158.7778673171997,1.4713944574197133,79.38893365859985,79.38893127441406
1350.0,0.5,0.5,160.50875425338745,1.5159802224900987,80.25437712669373,80.25437927246094
1400.0,0.5,0.5,147.1644468307495,1.5568592354986404,73.58222341537476,73.58222198486328
1450.0,0.75,0.75,160.07695388793945,1.6013250560230678,120.05771541595459,120.05770874023438
1500.0,0.25,0.25,149.0185627937317,1.642719101243549,37.25464069843292,37.254642486572266
1550.0,0.5,0.5,689.7057039737701,1.8343040190140407,344.85285198688507,344.85284423828125
1600.0,0.25,0.25,359.1522626876831,1.934068536427286,89.78806567192078,89.7880630493164
1650.0,0.75,0.75,277.0109610557556,2.0110160256094405,207.7582207918167,207.75820922851562
1700.0,0.75,0.75,239.11003828048706,2.0774354806873534,179.3325287103653,179.33251953125
1750.0,0.5,0.5,240.61947917938232,2.1442742249038482,120.30973958969116,120.30973815917969
1800.0,0.0,0.0,343.2014081478119,2.239607949389352,0.0,0.0
1850.0,0.25,0.25,932.1539545059204,2.498539603418774,233.0384886264801,233.03848266601562
1900.0,0.5,0.5,393.329824924469,2.6077978881200155,196.6649124622345,196.6649169921875
1950.0,0.25,0.25,756.8274312019348,2.8180277301205527,189.2068578004837,189.2068634033203
2000.0,0.25,0.25,820.3856036663055,3.04591262002786,205.09640091657639,205.09640502929688
2050.0,0.25,0.25,821.1166915893555,3.274000589913792,205.27917289733887,205.2791748046875
2100.0,0.75,0.75,1059.3536350727081,3.5682654885450997,794.5152263045311,794.5152587890625
2150.0,1.0,1.0,500.6098906993866,3.7073237915171515,500.6098906993866,500.6098937988281
2200.0,0.75,0.75,726.5388741493225,3.909140145447519,544.9041556119919,544.9041748046875
2250.0,0.5,0.5,440.4894320964813,4.031498321029875,220.24471604824066,220.24472045898438
2300.0,0.75,0.75,934.2520141601562,4.291012769407696,700.6890106201172,700.6890258789062
2350.0,0.25,0.25,1387.7022640705109,4.676485620538394,346.9255660176277,346.9255676269531
2400.0,1.0,1.0,529.8142993450165,4.823656259245342,529.8142993450165,529.8142700195312
2450.0,0.25,0.25,388.62103629112244,4.931606547103987,97.15525907278061,97.15525817871094
2500.0,0.75,0.75,398.3530168533325,5.04226016289658,298.7647626399994,298.7647705078125
2550.0,0.5,0.5,415.26108956336975,5.157610465553072,207.63054478168488,207.6305389404297
2600.0,0.75,0.75,446.0961081981659,5.281526051163674,334.5720811486244,334.57208251953125
2650.0,0.25,0.25,442.67983317375183,5.404492671489716,110.66995829343796,110.66996002197266
2700.0,0.5,0.5,349.675053358078,5.501624630755848,174.837526679039,174.8375244140625
2750.0,0.25,0.25,283.35151171684265,5.580333384010527,70.83787792921066,70.83787536621094
2800.0,0.5,0.5,232.84304642677307,5.6450120080179635,116.42152321338654,116.42152404785156
2850.0,1.0,1.0,221.54008316993713,5.706550920009613,221.54008316993713,221.5400848388672
2900.0,0.5,0.5,234.70500922203064,5.771746755904622,117.35250461101532,117.35250091552734
2950.0,0.75,0.75,189.1207890510559,5.824280308418804,141.84059178829193,141.84059143066406
3000.0,0.25,0.25,478.0566852092743,5.957073832088047,119.51417130231857,119.51416778564453
